"Other"        , "Jinja/Python"
"Other"        , "Jinja/QML"
"Other"        , "Jinja/QMake"
"Other"        , "Jinja/Ruby"
"Other"        , "Jinja/Rust"
"Other"        , "Jinja/SPDX-Comments"
"Other"        , "Jinja/SQL"
"Other"        , "Jinja/TOML"
"Other"        , "Jinja/Terraform"
"Other"        , "Jinja/TypeScript"
"Other"        , "Jinja/XML"
"Other"        , "Jinja/YAML"
"Other"        , "Jinja/Zsh"
"Other"        , "Jinja/reStructuredText"
"Other"        , "Jinja/systemd unit"
"Other"        , "LilyPond"
"Other"        , "Log File (advanced)"
"Other"        , "Log File (advanced) Selector"
"Other"        , "Log File (simplified)"
"Other"        , "Log File (simplified) Selector"
"Other"        , "Logcat"
"Other"        , "M3U"
"Other"        , "MIB"
"Other"        , "Makefile"
"Other"        , "Meson"
"Other"        , "Modelines"
"Other"        , "Music Publisher"
"Other"        , "Mustache/Handlebars (HTML)/PHP"
"Other"        , "Ninja"
"Other"        , "Overpass QL"
"Other"        , "PGN"
"Other"        , "QMake"
"Other"        , "RPM Spec"
"Other"        , "SELinux File Contexts"
"Other"        , "SPDX-Comments"
"Other"        , "Snort/Suricata"
"Other"        , "Starlark"
"Other"        , "SubRip Subtitles"
"Other"        , "TSV"
"Other"        , "TextProto"
"Other"        , "Tiger"
"Other"        , "Todo.txt"
"Other"        , "TypeScript/PHP"
"Other"        , "TypeScript/Twig"
"Other"        , "Valgrind Suppression"
"Other"        , "Wayland Trace"
"Other"        , "Web Video Text Tracks"
"Other"        , "YARA"
"Scientific"   , "Ansys"
"Scientific"   , "B-Method"
"Scientific"   , "FASTQ"
"Scientific"   , "GAP"
"Scientific"   , "GDL"
"Scientific"   , "Gnuplot"
"Scientific"   , "Magma"
"Scientific"   , "Mathematica"
"Scientific"   , "Matlab"
"Scientific"   , "Maxima"
"Scientific"   , "Mermaid"
"Scientific"   , "Metamath"
"Scientific"   , "Octave"
"Scientific"   , "R Script"
"Scientific"   , "Replicode"
"Scientific"   , "Stan"
"Scientific"   , "Stata"
"Scientific"   , "TI Basic"
"Scientific"   , "dot"
"Scientific"   , "scilab"
"Scientific"   , "yacas"
"Scripts"      , "4DOS BatchToMemory"
"Scripts"      , "AMPLE"
"Scripts"      , "AWK"
"Scripts"      , "AutoHotKey"
"Scripts"      , "Bash"
"Scripts"      , "BrightScript"
"Scripts"      , "CLIST"
"Scripts"      , "CoffeeScript"
"Scripts"      , "CubeScript"
"Scripts"      , "Elixir/EEx"
"Scripts"      , "Elixir/HEEx"
"Scripts"      , "Elvish"
"Scripts"      , "Erlang"
"Scripts"      , "Euphoria"
"Scripts"      , "Expect"
"Scripts"      , "Fish"
"Scripts"      , "GNU Linker Script"
"Scripts"      , "Godot"
"Scripts"      , "J"
"Scripts"      , "JCL"
"Scripts"      , "JavaScript"
"Scripts"      , "JavaScript React (JSX)"
"Scripts"      , "LSL"
"Scripts"      , "Lua"
"Scripts"      , "MEL"
"Scripts"      , "MS-DOS Batch"
"Scripts"      , "Mason"
"Scripts"      , "NSIS"
"Scripts"      , "Nix"
"Scripts"      , "PHP (HTML)"
"Scripts"      , "PHP/PHP"
"Scripts"      , "Perl"
"Scripts"      , "Pig"
"Scripts"      , "Pike"
"Scripts"      , "PowerShell"
"Scripts"      , "Praat"
"Scripts"      , "Puppet"
"Scripts"      , "Python"
"Scripts"      , "QFace"
"Scripts"      , "QML"
"Scripts"      , "Quake Script"
"Scripts"      , "REXX"
"Scripts"      , "Racket"
"Scripts"      , "Raku"
"Scripts"      , "Robot"
"Scripts"      , "Ruby"
"Scripts"      , "Scheme"
"Scripts"      , "Sieve"
"Scripts"      , "Snakemake"
"Scripts"      , "TaskJuggler"
"Scripts"      , "Tcl/Tk"
"Scripts"      , "Tcsh"
"Scripts"      , "Twig (HTML)"
"Scripts"      , "TypeScript"
"Scripts"      , "TypeScript React (TSX)"
"Scripts"      , "UnrealScript"
"Scripts"      , "Velocity"
"Scripts"      , "Xonotic Script"
"Scripts"      , "Zsh"
"Scripts"      , "ferite"
"Scripts"      , "k"
"Scripts"      , "opsi-script"
"Scripts"      , "q"
"Scripts"      , "sed"
"Sources"      , "ABAP"
"Sources"      , "ACPI DSL"
"Sources"      , "ACPI Source Language"
"Sources"      , "ANS-Forth94"
"Sources"      , "ANSI C89"
"Sources"      , "ANTLR"
"Sources"      , "ATS"
"Sources"      , "ActionScript 2.0"
"Sources"      , "Ada"
"Sources"      , "Agda"
"Sources"      , "Bitbake"
"Sources"      , "Boo"
"Sources"      , "C"
"Sources"      , "C#"
"Sources"      , "C++"
"Sources"      , "CGiS"
"Sources"      , "COBOL"
"Sources"      , "Cap'n Proto"
"Sources"      , "CashScript"
"Sources"      , "Cg"
"Sources"      , "Clipper"
"Sources"      , "Clojure"
"Sources"      , "Common Lisp"
"Sources"      , "Component-Pascal"
"Sources"      , "Crack"
"Sources"      , "Crystal"
"Sources"      , "Curry"
"Sources"      , "D"
"Sources"      , "Dart"
"Sources"      , "E Language"
"Sources"      , "Eiffel"
"Sources"      , "Elixir"
"Sources"      , "Elm"
"Sources"      , "FSharp"
"Sources"      , "FlatBuffers"
"Sources"      , "Fortran (Fixed Format)"
"Sources"      , "Fortran (Free Format)"
"Sources"      , "FreeBASIC"
"Sources"      , "FreeFEM"
"Sources"      , "GCCExtensions"
"Sources"      , "GNU M4"
"Sources"      , "GPRBuild"
"Sources"      , "Gleam"
"Sources"      , "Go"
"Sources"      , "Groovy"
"Sources"      , "Hare"
"Sources"      , "Haskell"
"Sources"      , "Haxe"
"Sources"      , "IDL"
"Sources"      , "ILERPG"
"Sources"      , "ISO C++"
"Sources"      , "Idris"
"Sources"      , "Inform"
"Sources"      , "Java"
"Sources"      , "Java Module"
"Sources"      , "Julia"
"Sources"      , "KBasic"
"Sources"      , "KDev-PG[-Qt] Grammar"
"Sources"      , "Kotlin"
"Sources"      , "LLVM"
"Sources"      , "LPC"
"Sources"      , "Lex/Flex"
"Sources"      , "Literate Curry"
"Sources"      , "Literate Haskell"
"Sources"      , "Logtalk"
"Sources"      , "Modelica"
"Sources"      , "Modula-2"
"Sources"      , "Modula-2 (ISO only)"
"Sources"      , "Modula-2 (PIM only)"
"Sources"      , "Modula-2 (R10 only)"
"Sources"      , "Modula-3"
"Sources"      , "MonoBasic"
"Sources"      , "Nemerle"
"Sources"      , "Nim"
"Sources"      , "OORS"
"Sources"      , "OPAL"
"Sources"      , "Objective Caml"
"Sources"      , "Objective Caml Ocamllex"
"Sources"      , "Objective Caml Ocamlyacc"
"Sources"      , "Objective-C"
"Sources"      , "Objective-C++"
"Sources"      , "Odin"
"Sources"      , "OpenCL"
"Sources"      , "PL/I"
"Sources"      , "Pascal"
"Sources"      , "Pony"
"Sources"      , "Prolog"
"Sources"      , "Protobuf"
"Sources"      , "Pure"
"Sources"      , "PureBasic"
"Sources"      , "PureScript"
"Sources"      , "RETRO"
"Sources"      , "RSI IDL"
"Sources"      , "RapidQ"
"Sources"      , "RenPy"
"Sources"      , "Rust"
"Sources"      , "SELinux CIL Policy"
"Sources"      , "SELinux Policy"
"Sources"      , "SML"
"Sources"      , "Sather"
"Sources"      , "Scala"
"Sources"      , "Smali"
"Sources"      , "Solidity"
"Sources"      , "Swift"
"Sources"      , "TADS 3"
"Sources"      , "TLA+"
"Sources"      , "Terraform"
"Sources"      , "V"
"Sources"      , "Vala"
"Sources"      , "Varnish module spec file"
"Sources"      , "Viper"
"Sources"      , "Yacc/Bison"
"Sources"      , "Zig"
"Sources"      , "Zonnon"
"Sources"      , "nesC"
"Sources"      , "noweb"
"Sources"      , "toit"
"Sources"      , "xHarbour"
